N	Unused	Accession	n	gFDR*k
1395	0.06	RRRRR_sp|O76038|SEGN_HUMAN	133	15.44101605
1398	0.06	RRRRR_sp|P57071|PRD15_HUMAN	134	15.52372955
1402	0.06	RRRRR_sp|O60825|F262_HUMAN	135	15.59495751
1404	0.06	RRRRR_sp|P13489|RINI_HUMAN	136	15.68809612
1408	0.06	RRRRR_sp|Q9H981|ARP8_HUMAN	137	15.75855361
1409	0.06	RRRRR_sp|Q9H6V9|LDAH_HUMAN	138	15.8623137
1410	0.06	RRRRR_sp|Q49MG5|MAP9_HUMAN	139	15.96592661
1411	0.06	RRRRR_sp|P0DPD8|EFCE2_HUMAN	140	16.06939266
1414	0.06	RRRRR_sp|Q92759|TF2H4_HUMAN	141	16.14983703
1417	0.05	RRRRR_sp|P11532|DMD_HUMAN	142	16.22994078
1418	0.05	RRRRR_sp|Q96RR1|PEO1_HUMAN	143	16.33270988
1420	0.05	RRRRR_sp|A0PJE2|DHR12_HUMAN	144	16.42375995
1421	0.05	RRRRR_sp|Q9NQX3|GEPH_HUMAN	145	16.52617569
1422	0.05	RRRRR_sp|Q96RW7|HMCN1_HUMAN	146	16.62844738
1424	0.05	RRRRR_sp|Q9ULL1|PKHG1_HUMAN	147	16.71882633
1427	0.05	RRRRR_sp|Q9NY61|AATF_HUMAN	148	16.79717254
1429	0.05	RRRRR_sp|Q9Y618|NCOR2_HUMAN	149	16.88699912
1430	0.05	RRRRR_sp|Q7Z7G8|VP13B_HUMAN	150	16.98844634
1434	0.05	RRRRR_sp|P25940|CO5A3_HUMAN	151	17.05399915
1442	0.05	RRRRR_sp|Q8N3D4|EH1L1_HUMAN	152	17.07169993
1447	0.05	RRRRR_sp|Q8WWL2|SPIR2_HUMAN	153	17.12463568
1448	0.05	RRRRR_sp|Q8N9W5|DAAF3_HUMAN	154	17.2246577
1449	0.05	RRRRR_sp|O94972|TRI37_HUMAN	155	17.32454166
1452	0.05	RRRRR_sp|Q96CP6|ASTRA_HUMAN	156	17.40028746
1453	0.05	RRRRR_sp|Q8WYQ5|DGCR8_HUMAN	157	17.49977558
1454	0.05	RRRRR_sp|Q13217|DNJC3_HUMAN	158	17.59912685
1455	0.05	RRRRR_sp|A2RTY3|HEAT9_HUMAN	159	17.69834155
1457	0.05	RRRRR_sp|P57075|UBS3A_HUMAN	160	17.78520486
1458	0.05	RRRRR_sp|O43615|TIM44_HUMAN	161	17.88408779
1459	0.05	RRRRR_sp|Q9BTK2|YX002_HUMAN	162	17.98283518
1461	0.05	RRRRR_sp|A0A0B4J275|TVA17_HUMAN	163	18.06907121
1468	0.05	RRRRR_sp|P61129|ZC3H6_HUMAN	164	18.0932354
1469	0.05	RRRRR_sp|P03372|ESR1_HUMAN	165	18.1911682
1473	0.05	RRRRR_sp|P36957|ODO2_HUMAN	166	18.25171935
1474	0.05	RRRRR_sp|P27658|CO8A1_HUMAN	167	18.34921244
